length,width,quantity,code,polish_edge_l,polish_edge_w
74.5,40,13,a1b2c3d4,1,2
67,25,13,e5f6g7h8,1,0
45,25,13,i9j0k1l2,1,2
38,25,13,m3n4o5p6,1,2
102.75,36,13,q7r8s9t0,0,2
35,25,13,u1v2w3x4,1,2
42,25,13,y5z6a7b8,1,2
38,25,13,c9d0e1f2,0,2
78,25,10,g3h4i5j6,1,1
23,25,10,k7l8m9n0,1,1
60,40,10,o1p2q3r4,1,1
12,25,10,s5t6u7v8,1,1
98,36,1,w9x0y1z2,1,1
31.5,25,1,a3b4c5d6,0,1
35,25,1,e7f8g9h0,1,1
29,25,1,i1j2k3l4,1,1
85.75,36,52,m5n6o7p8,1,1
35,25,52,q9r0s1t2,1,0
43,25,52,u3v4w5x6,1,2
23,25,52,y7z8a9b0,1,2
93,36,6,c1d2e3f4,1,2
35,25,6,g5h6i7j8,1,2
42,25,6,k9l0m1n2,0,2
29,25,6,o3p4q5r6,2,0
124.25,36,3,s7t8u9v0,2,2
35,25,3,w1x2y3z4,2,2
44,25,3,a5b6c7d8,0,1
38,25,3,e9f0g1h2,2,1
82.75,36,11,i3j4k5l6,2,1
35,25,11,m7n8o9p0,0,1
9,25,11,q1r2s3t4,2,0
97.75,36,3,u5v6w7x8,2,1
35,25,3,y9z0a1b2,2,1
42,25,3,c3d4e5f6,0,2
23,25,3,g7h8i9j0,2,2
98.75,36,3,k1l2m3n4,1,2
37,25,3,o5p6q7r8,1,1
9,25,3,s9t0u1v2,1,0
85.75,36,3,w3x4y5z6,1,1
35,25,3,a7b8c9d0,0,1
42,25,3,e1f2g3h4,1,1
23,25,3,i5j6k7l8,1,1
72.5,22.5,22,m9n0o1p2,1,0
72.5,4,22,q3r4s5t6,1,1
21.25,4,22,u7v8w9x0,2,1
36.5,22.5,11,y1z2a3b4,2,2
36.5,4,11,c5d6e7f8,2,2
21.25,4,11,g9h0i1j2,2,2
36.5,22.5,4,k3l4m5n6,0,1
36.5,4,4,o7p8q9r0,2,1
21.25,4,4,s1t2u3v4,2,1
66.5,22.5,39,w5x6y7z8,2,1
66.5,4,39,a9b0c1d2,0,1
21.25,4,39,e3f4g5h6,2,1
45,22.5,39,e3f4g5h7,2,1
45,4,39,e3f4g5h8,2,1
21.25,4,39,e3f4g5h9,3,2
21.25,4,39,a1b2c3d4,1,2
66.5,22.5,6,e5f6g7h8,1,0
66.5,4,6,i9j0k1l2,1,2
21.25,4,6,m3n4o5p6,1,2
51,22.5,6,q7r8s9t0,0,2
51,4,6,u1v2w3x4,1,2
21.25,4,6,y5z6a7b8,1,2
21.25,4,6,c9d0e1f2,0,2
60.5,22.5,3,g3h4i5j6,1,1
60.5,4,3,k7l8m9n0,1,1
21.25,4,3,o1p2q3r4,1,1
36.5,22.5,3,s5t6u7v8,1,1
36.5,4,3,w9x0y1z2,1,1
21.25,4,3,a3b4c5d6,0,1
33.5,22.5,11,e7f8g9h0,1,1
33.5,4,11,i1j2k3l4,1,1
21.25,4,11,m5n6o7p8,1,1
66.5,22.5,3,q9r0s1t2,1,0
66.5,4,3,u3v4w5x6,1,2
21.25,4,3,y7z8a9b0,1,2
48.5,22.5,3,c1d2e3f4,1,2
48.5,4,3,g5h6i7j8,1,2
21.25,4,3,k9l0m1n2,0,2
72.5,22.5,3,o3p4q5r6,2,0
72.5,4,3,s7t8u9v0,2,2
21.25,4,3,w1x2y3z4,2,2
63,22.5,3,a5b6c7d8,0,1
63,4,3,e9f0g1h2,2,1
21.25,4,3,i3j4k5l6,2,1
21.25,4,3,m7n8o9p0,0,1
66.5,22.5,11,q1r2s3t4,2,0
66.5,4,11,u5v6w7x8,2,1
21.25,4,11,y9z0a1b2,2,1
46.5,22.5,11,c3d4e5f6,0,2
46.5,4,11,g7h8i9j0,2,2
21.25,4,11,k1l2m3n4,1,2
66.5,22.5,5,o5p6q7r8,1,1
66.5,4,5,s9t0u1v2,1,0
21.25,4,5,w3x4y5z6,1,1
36.5,22.5,5,a7b8c9d0,0,1
36.5,4,5,e1f2g3h4,1,1
21.25,4,5,i5j6k7l8,1,1
