length,width,quantity,code,polish_edge_l,polish_edge_w
67,25,4,a1b2c3d4,1,2
24,25,4,e5f6g7h8,1,0
66.875,25,4,i9j0k1l2,1,2
24,25,4,m3n4o5p6,1,2
69,25,41,q7r8s9t0,0,2
15,25,41,u1v2w3x4,1,2
69,25,4,y5z6a7b8,1,2
15,25,4,c9d0e1f2,0,2
69,25,19,g3h4i5j6,1,1
15,25,19,k7l8m9n0,1,1
69,25,4,o1p2q3r4,1,1
15,25,4,s5t6u7v8,1,1
69,25,10,w9x0y1z2,1,1
15,25,10,a3b4c5d6,0,1
69,25,1,e7f8g9h0,1,1
15,25,1,i1j2k3l4,1,1
69,25,4,m5n6o7p8,1,1
17,25,4,q9r0s1t2,1,0
69,25,1,u3v4w5x6,1,2
20,25,1,y7z8a9b0,1,2
69,25,4,c1d2e3f4,1,2
20,25,4,g5h6i7j8,1,2
69,25,44,k9l0m1n2,0,2
15,25,44,o3p4q5r6,2,0
59,30,44,s7t8u9v0,2,2
69,25,2,w1x2y3z4,2,2
16,25,2,a5b6c7d8,0,1
63,30,2,e9f0g1h2,2,1
69,25,4,i3j4k5l6,2,1
15,25,4,m7n8o9p0,0,1
63,30,4,q1r2s3t4,2,0
69,25,3,u5v6w7x8,2,1
15,25,3,y9z0a1b2,2,1
