length,width,quantity,code,polish_edge_l,polish_edge_w
55,25,8,a1b2c3d4,1,2
55,4,8,e5f6g7h8,1,0
24.25,4,8,i9j0k1l2,1,2
55,25,6,m3n4o5p6,1,2
55,4,6,q7r8s9t0,0,2
24.25,4,6,u1v2w3x4,1,2
57.5,25,17,y5z6a7b8,1,2
57.5,4,17,c9d0e1f2,0,2
24.25,4,17,g3h4i5j6,1,1
24.25,4,17,k7l8m9n0,1,1
57.5,25,10,o1p2q3r4,1,1
57.5,4,10,s5t6u7v8,1,1
24.25,4,10,w9x0y1z2,1,1
24.25,4,10,a3b4c5d6,0,1
43,25,1,e7f8g9h0,1,1
43,4,1,i1j2k3l4,1,1
24.25,4,1,m5n6o7p8,1,1
77,25,7,q9r0s1t2,1,0
77,4,7,u3v4w5x6,1,2
24.25,4,7,y7z8a9b0,1,2
24.25,4,7,c1d2e3f4,1,2
89,25,2,g5h6i7j8,1,2
89,4,2,k9l0m1n2,0,2
24.25,4,2,o3p4q5r6,2,0
24.25,4,2,s7t8u9v0,2,2
93,25,2,w1x2y3z4,2,2
93,4,2,a5b6c7d8,0,1
24.25,4,2,e9f0g1h2,2,1
24.25,4,2,i3j4k5l6,2,1
89,25,3,m7n8o9p0,0,1
89,4,3,q1r2s3t4,2,0
24.25,4,3,u5v6w7x8,2,1
24.25,4,3,y9z0a1b2,2,1
59.5,25,2,c3d4e5f6,0,2
59.5,4,2,g7h8i9j0,2,2
24.25,4,2,k1l2m3n4,1,2
24.25,4,2,o5p6q7r8,1,1
58.5,25,1,s9t0u1v2,1,0
58.5,4,1,w3x4y5z6,1,1
24.25,4,1,a7b8c9d0,0,1
24.25,4,1,e1f2g3h4,1,1
70,25,1,i5j6k7l8,1,1
70,4,1,m9n0o1p2,1,0
24.25,4,1,q3r4s5t6,1,1
24.25,4,1,u7v8w9x0,2,1
49,25,15,y1z2a3b4,2,2
49,4,15,c5d6e7f8,2,2
24.25,4,15,g9h0i1j2,2,2
49,25,6,k3l4m5n6,0,1
49,4,6,o7p8q9r0,2,1
24.25,4,6,s1t2u3v4,2,1
51.25,25,3,w5x6y7z8,2,1
51.25,4,3,a9b0c1d2,0,1
24.25,4,3,e3f4g5h6,2,1
24.25,4,3,e3f4g5h7,2,1
51,25,1,e3f4g5h8,2,1
51,4,1,e3f4g5h9,2,1
24.25,4,1,e3f4g5h10,2,1
24.25,4,1,e3f4g5h11,2,1
53.5,25,2,e3f4g5h12,2,1
53.5,4,2,e3f4g5h13,2,1
24.25,4,2,e3f4g5h14,2,1
24.25,4,2,e3f4g5h15,2,1
