length,width,quantity,code,polish_edge_l,polish_edge_w
98.25,31.75,1,a1b2c3d4,1,2
16,25,1,e5f6g7h8,1,0
15.25,25,1,i9j0k1l2,1,2
87,25,3,m3n4o5p6,1,2
63.25,25,3,q7r8s9t0,0,2
72,38,3,u1v2w3x4,1,2
15.25,25,3,y5z6a7b8,1,2
88,25,1,c9d0e1f2,0,2
63.25,25,1,g3h4i5j6,1,1
72,38,1,k7l8m9n0,1,1
15.25,25,1,o1p2q3r4,1,1
87,25,3,s5t6u7v8,1,1
63.75,25,3,w9x0y1z2,1,1
72,38,3,a3b4c5d6,0,1
15.25,25,3,e7f8g9h0,1,1
81.25,25,1,i1j2k3l4,1,1
72,38,1,m5n6o7p8,1,1
45,25,1,q9r0s1t2,1,0
37.75,25,1,u3v4w5x6,1,2
87,25,1,y7z8a9b0,1,2
64.75,25,1,c1d2e3f4,1,2
72,38,1,g5h6i7j8,1,2
15.25,25,1,k9l0m1n2,0,2
87,25,4,o3p4q5r6,2,0
63.75,25,4,s7t8u9v0,2,2
72,38,4,w1x2y3z4,2,2
15.25,25,4,a5b6c7d8,0,1
