length,width,quantity,code,polish_edge_l,polish_edge_w
59,25,12,a1b2c3d4,1,2
37,25,12,e5f6g7h8,1,0
85,25,12,i9j0k1l2,1,2
9.25,25,12,m3n4o5p6,1,2
65.75,25,24,q7r8s9t0,0,2
50,25,24,u1v2w3x4,1,2
9.625,25,24,y5z6a7b8,1,2
67.625,25,36,c9d0e1f2,0,2
67.625,25,36,g3h4i5j6,1,1
65.75,25,48,k7l8m9n0,1,1
50,25,48,o1p2q3r4,1,1
9.625,25,48,s5t6u7v8,1,1
59.75,25,24,w9x0y1z2,1,1
6,25,24,a3b4c5d6,0,1
36,25,24,e7f8g9h0,1,1
59.75,25,0,i1j2k3l4,1,1
16.5,25,0,m5n6o7p8,1,1
17.5,25,0,q9r0s1t2,1,0
58.75,25,12,u3v4w5x6,1,2
24.625,25,12,y7z8a9b0,1,2
41,25,12,c1d2e3f4,1,2
58.75,25,12,g5h6i7j8,1,2
38,25,12,k9l0m1n2,0,2
24.625,25,12,o3p4q5r6,2,0
